system,parameter,value,seed,clip_idx,ga_best_fitness,critic_score,novelty_dist_aist,novelty_score,target_dist,smoothness_cm_std,upright_pct,bone_std_cm,runtime_s,collapse
System2,guidance_scale,3.0,2,1,,0.9216799139976501,950.3239135742188,0.9207110747822721,0.008320086002349902,2.0051589012145996,100.0,4.207021713256836,8.061022875015624,0
System2,guidance_scale,3.0,0,2,,0.8838222622871399,1204.59423828125,0.8830891613529922,0.046177737712860156,10.810415267944336,36.666666666666664,9.331417083740234,2.7309849160374142,0
System2,guidance_scale,3.0,1,2,,0.22236929833889008,1918.9815673828125,0.22225347988411084,0.70763070166111,39.38774871826172,100.0,24.155330657958984,9.219676957989577,1
System2,guidance_scale,3.0,2,2,,0.9293776154518127,651.5348510742188,0.9279533580134217,0.0006223845481873047,2.48732328414917,100.0,5.439051151275635,6.796745917003136,0
System2,guidance_scale,4.0,0,0,,0.8835535049438477,1320.1876220703125,0.8828847479178324,0.04644649505615239,9.453227996826172,36.666666666666664,9.891388893127441,2.4315416250028647,0
System2,guidance_scale,4.0,1,0,,0.1328405737876892,1472.767333984375,0.13275043705394268,0.7971594262123108,4.7314300537109375,100.0,5.135685443878174,9.486211749957874,1
System2,guidance_scale,4.0,2,0,,0.9143924713134766,926.8002319335938,0.9134069224422419,0.015607528686523486,13.675500869750977,35.0,14.506784439086914,9.195625708962325,0
System2,guidance_scale,4.0,0,1,,0.8825201392173767,1222.4349365234375,0.881798793019985,0.04747986078262334,9.168349266052246,36.666666666666664,9.680244445800781,2.505868540960364,0
System2,guidance_scale,4.0,1,1,,0.9110080003738403,738.8421630859375,0.9097766458419846,0.018991999626159717,3.1098809242248535,100.0,2.7092742919921875,5.496585707995109,0
System2,guidance_scale,4.0,2,1,,0.8787968158721924,1407.8016357421875,0.8781730255573769,0.051203184127807666,13.135810852050781,73.33333333333333,12.057619094848633,9.546870541991666,1
System2,guidance_scale,4.0,0,2,,0.8836065530776978,1181.1883544921875,0.8828591201075454,0.046393446922302295,10.912331581115723,35.0,9.23118782043457,2.4858041669940576,0
System2,guidance_scale,4.0,1,2,,0.9168340563774109,740.1956176757812,0.9155970900023904,0.01316594362258916,2.884322166442871,100.0,3.086967945098877,4.61742162500741,0
System2,guidance_scale,4.0,2,2,,0.9170896410942078,623.7454833984375,0.9156216998838039,0.012910358905792285,1.914677619934082,100.0,5.840291500091553,6.212940333003644,0
System2,ddim_steps,100,0,0,,0.8876499533653259,1173.5374755859375,0.8868942091069978,0.04235004663467412,9.925202369689941,35.0,9.369539260864258,2.620457749988418,0
System2,ddim_steps,100,1,0,,0.9232971668243408,767.2359619140625,0.9220953262277044,0.0067028331756592285,2.703516960144043,100.0,3.024038314819336,6.68690383300418,0
System2,ddim_steps,100,2,0,,0.8059479594230652,829.0023803710938,0.8049769405700076,0.12405204057693486,2.0738611221313477,100.0,5.7941694259643555,8.996320792008191,1
System2,ddim_steps,100,0,1,,0.8871567249298096,1421.8148193359375,0.8865332026605209,0.04284327507019048,9.11508846282959,36.666666666666664,9.809799194335938,2.4971703750197776,0
System2,ddim_steps,100,1,1,,0.9284161925315857,743.6068725585938,0.9271693383502089,0.0015838074684143555,3.1197280883789062,100.0,3.4217379093170166,6.1130519160069525,0
System2,ddim_steps,100,2,1,,0.9216799139976501,950.3239135742188,0.9207110747822721,0.008320086002349902,2.0051589012145996,100.0,4.207021713256836,7.769561332999729,0
System2,ddim_steps,100,0,2,,0.8838222622871399,1204.59423828125,0.8830891613529922,0.046177737712860156,10.810415267944336,36.666666666666664,9.331417083740234,2.586038790992461,0
System2,ddim_steps,100,1,2,,0.22236929833889008,1918.9815673828125,0.22225347988411084,0.70763070166111,39.38774871826172,100.0,24.155330657958984,8.983314000011887,1
System2,ddim_steps,100,2,2,,0.9293776154518127,651.5348510742188,0.9279533580134217,0.0006223845481873047,2.48732328414917,100.0,5.439051151275635,6.73995516699506,0
System2,ddim_steps,150,0,0,,0.9154495000839233,1190.302734375,0.9146810560321567,0.014550499916076709,8.577616691589355,33.33333333333333,7.8903961181640625,3.701103208004497,0
