variant,seed,clip_idx,critic_score,fgd,bas,novelty_dist_aist,novelty_score,target_dist,smoothness_cm_std,upright_pct,bone_std_cm,diversity_proxy,runtime_s,collapse
A6_090,3,0,0.876618355512619,1025.398429673870,0.07585830094104570,1105.8405354817700,0.8758263549240870,0.023381644487381000,26.785400390625,83.79629629629630,9.948640823364260,,73.9271912080003,1
A6_090,4,0,0.8816422820091250,684.4241595017500,0.04796596415500460,1034.9637247721400,0.8807912461466450,0.018357717990875300,7.830316543579100,88.88888888888890,5.812470436096190,,51.68596337502820,1
A6_090,0,1,0.887684091925621,846.5748645560820,0.2683894343735650,1040.3648885091100,0.8868316682442380,0.01231590807437900,7.488488674163820,100.0,8.886661529541020,,35.83405587496240,1
A6_090,1,1,0.8936952948570250,2524.840384264510,0.12468110585927200,1400.5985310872400,0.8930576691210990,0.006304705142974880,7.836388111114500,83.33333333333330,8.681848526000980,,83.14152762497540,0
A6_090,2,1,0.8773253858089450,2070.7753197005400,0.16054285650160000,916.3508097330730,0.8763690173439030,0.02267461419105530,9.348065376281740,82.87037037037040,8.938456535339360,,56.07103629200720,1
A6_090,3,1,0.883173793554306,830.704465622983,0.2598097938131960,1143.4749755859400,0.8824021088845720,0.016826206445694000,5.529848098754880,100.0,9.029873847961430,,65.40335166704610,1
A6_090,4,1,0.8871954381465910,930.7567996998390,0.14196388514012200,1208.0686442057300,0.8864616539711450,0.012804561853408800,9.615788459777830,63.888888888888900,7.34851598739624,,48.48598675004910,1
A6_090,0,2,0.8885069191455840,997.7307679413990,0.11918015016800100,1322.319071451820,0.887835496101578,0.011493080854415900,32.49712371826170,90.74074074074080,14.165630340576200,,65.5331422080053,1
A6_090,1,2,0.88209468126297,2864.923227136830,0.07158391173333760,1476.3749389648400,0.8814976123280650,0.01790531873703010,7.9614362716674800,81.94444444444440,8.250484466552730,,80.46506399998910,1
A6_090,2,2,0.8926478177309040,361.4569051681880,0.07725239768490620,851.1255289713540,0.8916002633655180,0.007352182269096400,9.295806884765630,100.0,7.092662811279300,,63.0731442910037,1
A6_090,3,2,0.8814961761236190,382.1253957264050,0.12100798526121200,717.7361450195310,0.8802697230194700,0.018503823876380900,4.7125067710876500,100.0,5.710238456726070,,46.643683917005500,1
A6_090,4,2,0.9021387100219730,770.1178147468630,0.04363317569114130,1145.9049886067700,0.9013521246299970,0.002138710021972630,13.674951553344700,88.42592592592590,7.025742530822750,,33.13072037498930,0
A6_093,0,0,0.9170854687690740,324.25559090228600,0.04637949485276930,864.6118570963540,0.9160260037660810,0.012914531230926600,8.017889976501470,100.0,7.260993957519530,,83.40151616599180,0
A6_093,1,0,0.9275785088539120,304.37991650925200,0.06493054746324260,960.3639729817710,0.9266136521139860,0.0024214911460877000,8.232132911682130,100.0,5.708130836486820,,74.98233620799150,0
A6_093,2,0,0.9082430154085160,864.0303343856450,0.013533556842505300,910.3657023111980,0.9072464417903680,0.02175698459148410,19.77187156677250,89.35185185185190,15.078963279724100,,54.75111516698960,0
A6_093,3,0,0.9039150327444080,814.8324077825610,0.19751237873475600,939.5111897786460,0.9029539436658640,0.026084967255592400,5.27197790145874,100.0,7.13181734085083,,82.322389167035,0
A6_093,4,0,0.9173366874456410,209.40309217449200,0.054473371405832200,759.1545613606770,0.9161299109108740,0.012663312554359500,6.806201457977300,100.0,5.208917617797850,,62.507776834012500,0
A6_093,0,1,0.9245208501815800,801.3153862624250,0.11386054941910100,1118.1714477539100,0.9236947740231530,0.005479149818420460,7.266100883483890,100.0,7.935042381286620,,94.19991883297920,0
A6_093,1,1,0.9157748967409130,1068.6662297969300,0.2681756472399110,1318.2604573567700,0.9150807389712070,0.014225103259086700,16.164880752563500,86.57407407407410,8.6972074508667,,51.0914467080147,0
A6_093,2,1,0.9156691133975980,857.996826600303,0.43469802733919500,954.4578450520830,0.9147107570262110,0.014330886602401800,7.763539791107180,100.0,7.74332332611084,,65.61365266697250,0
A6_093,3,1,0.9135232865810390,911.9454607526580,0.1284309970733670,873.162841796875,0.9124782601364200,0.01647671341896060,9.047480583190920,100.0,10.085840225219700,,49.03226850001370,0
A6_093,4,1,0.9057455360889440,214.28944090854400,0.22936581597974700,775.7625528971350,0.9045794840789560,0.024254463911056600,5.825673580169680,100.0,5.810969829559330,,57.48607595800420,0
